id,highway,name,oneway,lit,lanes,maxspeed,railway,boundary,access,natural,barrier,tunnel,bridge,incline,waterway,busway,toll
5168803,primary,Κηφισίας,yes,yes,3,60,,,,,,,,,,,
5203794,tertiary,Αίνου,yes,,,,,,,,,,,,,,
5203817,tertiary,Κασομούλη,no,,,,,,,,,,,,,,
5203818,tertiary,Αμβροσίου Φραντζή,yes,,2,50,,,,,,,,,,,
5203828,residential,Καποδιστρίου,yes,,,,,,,,,,,,,,
5203829,residential,Αγίου Κωνσταντίνου,yes,,,,,,,,,,,,,,
5203837,residential,Καμπούρη Εμμ.,yes,,,,,,,,,,,,,,
5203845,residential,Θεσσαλονίκης,yes,,,,,,,,,,,,,,
5203859,residential,Πλωμαρίου,yes,,,,,,,,,,,,,,
5208726,secondary,Στρατηγού Μακρυγιάννη,yes,,,,,,,,,,,,,,
5209166,primary,Ανδρέα Συγγρού,yes,yes,3,,,,,,,,,,,,
5209181,secondary,Καλλιρόης,yes,,,,,,,,,,,,,,
5209449,motorway_link,,yes,yes,2,,,,,,,,,,,,yes
5209458,motorway_link,Σήραγγα Κατεχάκη,yes,yes,2,60,,,,,,,,,,,
5209488,motorway_link,,yes,yes,2,40,,,,,,,,,,,yes
5214460,primary,Βασιλίσσης Σοφίας,yes,yes,3,,,,,,,,,,,,
5214469,primary,Βασιλέως Κωνσταντίνου,yes,yes,3,,,,,,,,,,,,
5214471,secondary,Βασιλέως Κωνσταντίνου,yes,yes,4,,,,,,,,,,,,
5399195,primary_link,Μεσογείων,yes,yes,2,,,,,,,,,,,,
5656359,primary,Βασιλίσσης Αμαλίας,yes,yes,4,,,,,,,,,,,,
5656493,service,Ελευθερίου Βενιζέλου,yes,,1,,,,,,,,,,,,
5656636,primary,Βασιλίσσης Αμαλίας,yes,yes,3,,,,,,,,,,,,
5728492,primary_link,Βασιλίσσης Σοφίας,yes,yes,3,,,,,,,,,,,,
5728512,secondary,Βασιλέως Αλεξάνδρου,yes,,,,,,,,,,,,,,
5728970,primary,Λεωφόρος Βουλιαγμένης,yes,yes,2,,,,,,,,,,,,
5839602,secondary_link,,yes,,1,,,,,,,,,,,,
8181836,residential,Αδριανού,,,,,,,,,,,,,,,
8181838,residential,Δεξίππου,,,,,,,,,,,,,,,
10741722,tertiary,Μενάνδρου,yes,,,,,,,,,,,,,,
10741726,residential,Βίκτωρος Ουγκώ,yes,,,,,,,,,,,,,,
10741731,residential,Σατωβριάνδου,yes,,,,,,,,,,,,,,
10741733,secondary,3ης Σεπτεμβρίου,yes,yes,3,,,,,,,,,,,,
10741734,secondary,Καματερού,yes,,,,,,,,,,,,,,
10741736,residential,Φαβιέρου,yes,,,,,,,,,,,,,,
10741746,tertiary,Αβέρωφ,yes,,,,,,,,,,,,,,
10741747,secondary,Καποδιστρίου,yes,,,,,,,,,,,,,,
10741751,tertiary,Στουρνάρη,yes,,,,,,,,,,,,,,
10741754,secondary,Λιοσίων,yes,,,,,,,,,,,,,,
