id,name,traffic_info
5168803,Κηφισίας,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5203794,Αίνου,
5203817,Κασομούλη,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5203818,Αμβροσίου Φραντζή,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5203828,Καποδιστρίου,
5203829,Αγίου Κωνσταντίνου,
5203837,Καμπούρη Εμμ.,
5203845,Θεσσαλονίκης,
5203859,Πλωμαρίου,
5208726,Στρατηγού Μακρυγιάννη,
5209166,Ανδρέα Συγγρού,
5209181,Καλλιρόης,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5209449,
5209458,Σήραγγα Κατεχάκη,
5209488,
5214460,Βασιλίσσης Σοφίας,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5214469,Βασιλέως Κωνσταντίνου,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5214471,Βασιλέως Κωνσταντίνου,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5399195,Μεσογείων,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5656359,Βασιλίσσης Αμαλίας,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5656493,Ελευθερίου Βενιζέλου,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5656636,Βασιλίσσης Αμαλίας,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5728492,Βασιλίσσης Σοφίας,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5728512,Βασιλέως Αλεξάνδρου,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5728970,Λεωφόρος Βουλιαγμένης,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5839602,,
8181836,Αδριανού,
8181838,Δεξίππου,
10741722,Μενάνδρου,
10741726,Βίκτωρος Ουγκώ,
10741731,Σατωβριάνδου,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
10741733,3ης Σεπτεμβρίου,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
10741734,Καματερού,
10741736,Φαβιέρου,
10741746,Αβέρωφ,
10741747,Καποδιστρίου,
10741751,Στουρνάρη,
10741754,Λιοσίων,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
10741757,Σολωμού,
10741758,Μενάνδρου,
10741759,Κουμουνδούρου,
10741760,Μάγερ,
10741762,Μαιζώνος,
10741763,Μακεδονίας,
10742179,,
10742180,,
10742774,,
10743224,,
10743225,,
10971761,Μπουμπουλίνας,
10971763,Ιουλιανού,
10971764,Μπόταση,
10971765,Τζωρτζ,
10971766,Καποδιστρίου,
10971767,Κάνιγγος,
10971769,Τοσίτσα,
10971776,Νοταρά,
10971781,Κουντουριώτου,
10971782,Σπύρου Τρικούπη,
10972181,Οκτάβιου Μερλιέ,
10972183,Τσαμαδού,
10972185,Οικονόμου,
10972561,Μετσόβου,
10972563,Ρεθύμνου,
10972564,Κυβέλης,
10972565,Σαριπόλου,
10973181,,
10974932,Γραμμή 1,
10976007,Φιλαδελφείας,
10976008,Αλκιβιάδου,
10976009,Σωνιέρου,
10976012,Βατσαξή,
10976420,Ακομινάτου,
10976421,Κρήτης,
10976427,Σαχίνη,
10976428,Αγίου Παύλου,
10976429,Ιλίου,
10976430,Θράκης,
10976431,Νικομηδείας,
10976432,,
10976433,Καρόλου,
10976435,Μάρνη,
10976951,Αιόλου,
10976954,Σοφοκλέους,
10976958,Γερανίου,
10976960,Σωκράτους,
10976967,Αριστείδου,
10976970,Λυκούργου,
10976971,Ικτίνου,
10976972,Κλεισθένους,
11031663,Χίου,
11031664,Παλαιολόγου Κωνσταντίνου,
11031665,Μιχαήλ Βόδα,
11031667,Αλκαμένους,
11031672,Ακακιου,
11031680,Αχαρνών,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
11031684,Αλκιβιάδου,
11031685,Σμύρνης,
11033928,,
11713131,Πουλχερίας,
15220170,Αγ. Αναργύρων,
15220369,Καραολή και Δημητρίου,
15220432,Κοραή Αδαμάντιου,
15371919,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),
15371933,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),
